;Image de la Valkyrie;Type de la Valkyrie;Nom de la Valkyrie;Nom du Battlesuit;Nom du Battlesuit FR;Abréviation de la valkyrie;Rôle de la Valkyrie;Utilisation de la Valkyrie;Dois-je la farmer ?
44;;Mech;Fu Hua;Shadow Knight;Chevaleresse d'Ombre;SK;DPS Elementaire;Un personnage top-tier en early game, qui propose des dégâts de Foudre fortement conséquents en end game avec ses équipements;En early/mid game, très bonne Valkyrie avec un stuff f2p. En end game, prévoir de quoi l'équiper, sinon, non.
45;;Psy;Fu Hua;Azure Empyrea;Empyrée Azur;AE ou Ink Hua;Support Elementaire;Un support élémentaire top-tier, qui peut générer des SP et rassembler les ennemis;Seul le rang S est nécessaire, mais prenez en compte qu'il s'agit d'une Valkyrie Gacha seulement.
46;;Psy;Rita Rossweisse;Umbral Rose;Rose Ombrale;UR;DPS Physique;DPS Physique de type PSY, très puissante et mobile, très bonne survivabilité;Oui si vous êtes en possession de son arme signature, très bon DPS Physique PSY. A monter en SS minimum. (Pas une priorité)
47;;Mech;Rita Rossweisse;Phantom Iron;Fer Fantôme;PI;Support / DPS Elementaire;Son ultime permet à ses alliés de faire beaucoup plus de dommages. En SSS et avec son équipement, elle devient un très bon DPS Foudre;Nan
48;;Bio;Rita Rossweisse;Argent Knight : Artemis;Chevalière d'Argent : Artemis;AKA;DPS Elementaire;Peu intéressante comparée à d'autres DPS élémentaires, très utile en coop grâce à son gel unique. DPS Glace;Nan
49;;Mech;Liliya Olenyeva;Blueberry Blitz;Myrtille Blitz;BB;Support Physique / DPS Physique;Fonctionne principalement avec son ultime Counter / Break Shield;Très utile dans certains compositions, ce n'est toutefois pas une priorité à farmer.
50;;Psy;Rozaliya Olenyeva;Molotov Cherry;Cerise Molotov;MC;DPS Physique/Support élémentaire;Spin to Win, parfaite pour clear des groupes d'ennemis, très bon DPS si équipée correctement et en SS, a besoin de Liliya dans l'équipe. Avec Blood Dance, un bon support élémentaire;Pas une priorité comparée à PX/KMB/LE, mais si vous y tenez, en SS avec son stuff pour DPS
51;;Quantum;Seele Vollerei;Swallowtail Phantasm;Fantasme de Machaon;SP;DPS Physique;Très dépendante de son ultime, elle ne sera utile qu'en Abysse.;Elle a récemment gagné en utilité suite à l'implémentation de contenu Quantum, mais elle n'est toujours pas une priorité
52;;Quantum;Seele Vollerei;Stygian Nymph;Nymphe Stygienne;SN;DPS Physique;Extrêmement puissante, elle a toutefois besoin de son set signature pour réellement briller.;Seulement si vous avez économisé 28k cristaux ou +
53;;Quantum;Durandal;Valkyrja Gloria;;VG;DPS Elementaire;Ayant besoin de rester longtemps sur le terrain pour avoir un DPS conséquent, elle n'est pas très utile dans la meta actuelle;Non
;;;;;;;;;
